Тип объекта,Имя регистра,Синоним,Контур учета,Тип хранения,Назначение,Что хранит,Ключевая аналитика,Ресурсы/значения,Реквизиты/признаки,Кто пишет,Подтвержденные источники,Когда меняется,Связи,Уверенность,XML путь,Ошибка разбора
Регистр сведений,ИсторияИспользованияСоставаУпаковкиИСМП,История использования состава упаковки ИС МП,Склад / товарные остатки,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Склад / товарные остатки': История использования состава упаковки ИС МП.,"Аналитики: Номенклатура, Характеристика, GTIN, ХешСуммаУпаковки (Хеш сумма упаковки). Значения: Дата, Черновик, СоставУпаковки (Состав упаковки). ","Номенклатура, Характеристика, GTIN, ХешСуммаУпаковки (Хеш сумма упаковки)","Дата, Черновик, СоставУпаковки (Состав упаковки)",,15 DataProcessors; 3 InformationRegisters,InformationRegisters:ПулКодовМаркировкиСУЗ:1957; InformationRegisters:ПулКодовМаркировкиСУЗ:1965; InformationRegisters:ПулКодовМаркировкиСУЗ:5253; DataProcessors:ВиртуальнаяАгрегацияУпаковокИСМП:42; DataProcessors:ВиртуальнаяАгрегацияУпаковокИСМП:302; DataProcessors:ВиртуальнаяАгрегацияУпаковокИСМП:1171; DataProcessors:ВиртуальнаяАгрегацияУпаковокИСМП:1182; DataProcessors:ВиртуальнаяАгрегацияУпаковокИСМП:1577; DataProcessors:ВиртуальнаяАгрегацияУпаковокИСМП:1579; DataProcessors:ВиртуальнаяАгрегацияУпаковокИСМП:296; DataProcessors:ВиртуальнаяАгрегацияУпаковокИСМП:302; DataProcessors:ВиртуальнаяАгрегацияУпаковокИСМП:537; DataProcessors:ВиртуальнаяАгрегацияУпаковокИСМП:572; DataProcessors:ВиртуальнаяАгрегацияУпаковокИСМП:589; DataProcessors:ВиртуальнаяАгрегацияУпаковокИСМП:604,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/ИсторияИспользованияСоставаУпаковкиИСМП.xml,
Регистр сведений,ИсторияИспользованияШаблонаЭтикеткиИСМП,История использования шаблона этикетки ИС МП,Склад / товарные остатки,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Склад / товарные остатки': История использования шаблона этикетки ИС МП.,"Аналитики: Номенклатура, Характеристика, GTIN, Шаблон. Значения: ШаблонЭтикетки (Шаблон этикетки). ","Номенклатура, Характеристика, GTIN, Шаблон",ШаблонЭтикетки (Шаблон этикетки),,3 InformationRegisters,InformationRegisters:ПулКодовМаркировкиСУЗ:1688; InformationRegisters:ПулКодовМаркировкиСУЗ:1794; InformationRegisters:ПулКодовМаркировкиСУЗ:2701,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/ИсторияИспользованияШаблонаЭтикеткиИСМП.xml,
Регистр сведений,ИсторияИспользованияШаблонаЭтикеткиУпаковкиИСМП,История использования шаблона этикетки упаковки ИС МП,Склад / товарные остатки,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Склад / товарные остатки': История использования шаблона этикетки упаковки ИС МП.,Аналитики: ХешСуммаУпаковки (Хеш сумма упаковки). Значения: СоставУпаковки (Состав упаковки). ,ХешСуммаУпаковки (Хеш сумма упаковки),СоставУпаковки (Состав упаковки),,6 InformationRegisters,InformationRegisters:ПулКодовМаркировкиСУЗ:1866; InformationRegisters:ПулКодовМаркировкиСУЗ:1883; InformationRegisters:ПулКодовМаркировкиСУЗ:2035; InformationRegisters:ПулКодовМаркировкиСУЗ:2057; InformationRegisters:ПулКодовМаркировкиСУЗ:2698; InformationRegisters:ИсторияИспользованияШаблонаЭтикеткиУпаковкиИСМП:52,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/ИсторияИспользованияШаблонаЭтикеткиУпаковкиИСМП.xml,
Регистр сведений,ИсторияМуниципальнойИерархии,История муниципальной иерархии,Интеграции / обмены / ЭДО,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Интеграции / обмены / ЭДО': История муниципальной иерархии.,"Аналитики: Идентификатор, РодительскийИдентификатор (Родительский идентификатор), КодСубъектаРФ (Код субъекта РФ), ИдентификаторЗаписи (Идентификатор записи). ","Идентификатор, РодительскийИдентификатор (Родительский идентификатор), КодСубъектаРФ (Код субъекта РФ), ИдентификаторЗаписи (Идентификатор записи)",,,1 CommonModules,CommonModules:АдресныйКлассификаторСлужебный:12751,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/ИсторияМуниципальнойИерархии.xml,
Регистр сведений,ИсторияОтправкиСообщенийВ1СДокументооборот,История отправки сообщений в 1С:Документооборот,Интеграции / обмены / ЭДО,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Интеграции / обмены / ЭДО': История отправки сообщений в 1С:Документооборот.,"Аналитики: МоментВремени (Момент времени), Идентификатор. Значения: Данные. Признаки: ДатаСоздания (Дата создания), ДатаОтправки (Дата отправки).","МоментВремени (Момент времени), Идентификатор",Данные,"ДатаСоздания (Дата создания), ДатаОтправки (Дата отправки)",3 CommonModules,CommonModules:ИнтеграцияС1СДокументооборотБазоваяФункциональность:7549; CommonModules:ИнтеграцияС1СДокументооборотБазоваяФункциональность:7611; CommonModules:ИнтеграцияС1СДокументооборотБазоваяФункциональность:7828,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/ИсторияОтправкиСообщенийВ1СДокументооборот.xml,
Регистр сведений,ИсторияПогашенийСДИЗЗЕРНО,"История погашений СДИЗ ФГИС ""Зерно""",Склад / товарные остатки,Непериодические сведения; независимая запись,"Хранит состояние/соответствие/служебные сведения в контуре 'Склад / товарные остатки': История погашений СДИЗ ФГИС ""Зерно"".","Аналитики: СДИЗ, НомерПартии (Номер партии). Значения: КоличествоЗЕРНО (Масса, кг), Причина, ОписаниеПричины (Описание причины), Статус, ПолноеПогашение (Полное погашение), ИдентификаторЗаявки (Идентификатор заявки), ДатаОперации (Дата), ВидОперации (Вид операции). ","СДИЗ, НомерПартии (Номер партии)","КоличествоЗЕРНО (Масса, кг), Причина, ОписаниеПричины (Описание причины), Статус, ПолноеПогашение (Полное погашение), ИдентификаторЗаявки (Идентификатор заявки), ДатаОперации (Дата), ВидОперации (Вид операции)",,2 Catalogs; 15 Documents; 4 InformationRegisters,InformationRegisters:ИсторияПогашенийСДИЗЗЕРНО:30; InformationRegisters:ИсторияПогашенийСДИЗЗЕРНО:95; InformationRegisters:ИсторияПогашенийСДИЗЗЕРНО:168; InformationRegisters:ИсторияПогашенийСДИЗЗЕРНО:172; Catalogs:Catalogs/СДИЗЗЕРНО/Ext/ManagerModule.bsl:374; Catalogs:Catalogs/СДИЗЗЕРНО/Ext/ManagerModule.bsl:379; Documents:ПогашениеСДИЗЗЕРНО:1504; Documents:ПогашениеСДИЗЗЕРНО:1860; Documents:ПогашениеСДИЗЗЕРНО:1952; Documents:ПогашениеСДИЗЗЕРНО:1960; Documents:ПогашениеСДИЗЗЕРНО:2000; Documents:ПогашениеСДИЗЗЕРНО:2016; Documents:ПогашениеСДИЗЗЕРНО:2019; Documents:ОформлениеСДИЗЗЕРНО:2951; Documents:ОформлениеСДИЗЗЕРНО:2959,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/ИсторияПогашенийСДИЗЗЕРНО.xml,
Регистр сведений,ИсторияПодарочныхСертификатов,История подарочных сертификатов,Продажи / клиенты,Периодические сведения; RecorderSubordinate,Хранит историю сведений в контуре 'Продажи / клиенты': История подарочных сертификатов.,Аналитики: ПодарочныйСертификат (Подарочный сертификат). Значения: Статус. ,ПодарочныйСертификат (Подарочный сертификат),Статус,,3 CommonModules; 1 Documents,Documents:АннулированиеПодарочныхСертификатов:1124; CommonModules:ПодарочныеСертификатыСервер:23; CommonModules:ПодарочныеСертификатыСервер:117; CommonModules:ПодарочныеСертификатыСервер:118,При изменении значения во времени/получении среза.,см. контур учета и источники записи,Высокая,InformationRegisters/ИсторияПодарочныхСертификатов.xml,
Регистр сведений,ИсторияРассылкиОтчетов,История рассылки отчетов,Интеграции / обмены / ЭДО,Периодические сведения; независимая запись,Хранит историю сведений в контуре 'Интеграции / обмены / ЭДО': История рассылки отчетов.,"Аналитики: РассылкаОтчетов (Рассылка отчетов), Получатель, ЗапускРассылки (Запуск рассылки), УчетнаяЗапись (Почта), АдресЭП (Адрес ЭП). Признаки: Выполнена, Комментарий, НомерСеанса (Номер сеанса), ЭлектронноеПисьмоИсходящее (Электронное письмо исходящее), СпособПолучения (Способ получения), Статус, … +2.","РассылкаОтчетов (Рассылка отчетов), Получатель, ЗапускРассылки (Запуск рассылки), УчетнаяЗапись (Почта), АдресЭП (Адрес ЭП)",,"Выполнена, Комментарий, НомерСеанса (Номер сеанса), ЭлектронноеПисьмоИсходящее (Электронное письмо исходящее), СпособПолучения (Способ получения), Статус, ИдентификаторПисьма (Идентификатор письма), ДатаДоставки (Дата доставки)",10 CommonModules,CommonModules:РассылкаОтчетов:1341; CommonModules:РассылкаОтчетов:1616; CommonModules:РассылкаОтчетов:2608; CommonModules:РассылкаОтчетов:2622; CommonModules:РассылкаОтчетов:3415; CommonModules:РассылкаОтчетов:3437; CommonModules:РассылкаОтчетов:4427; CommonModules:РассылкаОтчетов:4987; CommonModules:РассылкаОтчетов:5076; CommonModules:РассылкаОтчетов:5120,При изменении значения во времени/получении среза.,см. контур учета и источники записи,Высокая,InformationRegisters/ИсторияРассылкиОтчетов.xml,
Регистр сведений,ИсторияРезервногоКопированияВстроенногоХранилищаДвоичныхДанных,История резервного копирования встроенного хранилища двоичных данных,Заказы / резервы / обеспечение,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Заказы / резервы / обеспечение': История резервного копирования встроенного хранилища двоичных данных.,"Аналитики: ВидРезервнойКопии (Вид резервной копии), ДатаСоздания (Дата создания). Значения: ИмяФайлаРезервнойКопии (Имя файла резервной копии). ","ВидРезервнойКопии (Вид резервной копии), ДатаСоздания (Дата создания)",ИмяФайлаРезервнойКопии (Имя файла резервной копии),,1 CommonModules,CommonModules:РаботаСХранилищамиДвоичныхДанныхСервер:237,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/ИсторияРезервногоКопированияВстроенногоХранилищаДвоичныхДанных.xml,
Регистр сведений,ИсточникиДанныхВариантовАнализаЦелевыхПоказателей,Источники данных вариантов анализа целевых показателей,Взаиморасчеты,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Взаиморасчеты': Источники данных вариантов анализа целевых показателей.,"Аналитики: ВариантАнализа (Вариант анализа), ВариантОтображения (Вариант отображения). Значения: ДатаРасчета (Дата расчета), ИсточникДанных (Источник данных). ","ВариантАнализа (Вариант анализа), ВариантОтображения (Вариант отображения)","ДатаРасчета (Дата расчета), ИсточникДанных (Источник данных)",,2 Catalogs; 2 CommonModules,Catalogs:Catalogs/СтруктураЦелей/Ext/ObjectModule.bsl:32; Catalogs:Catalogs/ВариантыАнализаЦелевыхПоказателей/Ext/ObjectModule.bsl:48; CommonModules:ОбщегоНазначенияПереопределяемый:271; CommonModules:МониторингЦелевыхПоказателей:6276,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/ИсточникиДанныхВариантовАнализаЦелевыхПоказателей.xml,
Регистр сведений,ИсточникиПервичногоИнтереса,Источники первичного интереса,Взаиморасчеты,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Взаиморасчеты': Источники первичного интереса.,"Аналитики: Сделка, Партнер (Клиент). Значения: КаналПервичногоИнтереса (Канал первичного интереса), ИсточникПервичногоИнтереса (Источник первичного интереса). ","Сделка, Партнер (Клиент)","КаналПервичногоИнтереса (Канал первичного интереса), ИсточникПервичногоИнтереса (Источник первичного интереса)",,2 Catalogs; 2 CommonModules; 1 Reports,Catalogs:Catalogs/Партнеры/Forms/ПомощникНового/Ext/Form/Module.bsl:5959; Catalogs:Catalogs/СделкиСКлиентами/Forms/ФормаЭлемента/Ext/Form/Module.bsl:209; Reports:ДосьеПартнера:82; CommonModules:ПартнерыИКонтрагенты:2895; CommonModules:УправлениеДоступомПереопределяемый:423,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/ИсточникиПервичногоИнтереса.xml,
Регистр сведений,ИсходныеДанныеЗаданийРаспознаваниеДокументов,Исходные данные заданий,Продажи / клиенты,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Продажи / клиенты': Исходные данные заданий.,"Аналитики: ИдентификаторФайла (Идентификатор файла), УдалитьИдентификаторЗадания ((не используется) Идентификатор задания), УдалитьНомерФайла ((не используется) Номер файла). Значения: ИдентификаторЗадания (Идентификатор задания), ДатаЗагрузки (Дата загрузки), ИмяФайла (Имя файла), ИсходныйФайл (Исходный файл). Признаки: Пользователь, Отправитель, ИдентификаторКлиента (Идентификатор клиента), МобильноеПриложение (Мобильное приложение), ВОбработке (В обработке).","ИдентификаторФайла (Идентификатор файла), УдалитьИдентификаторЗадания ((не используется) Идентификатор задания), УдалитьНомерФайла ((не используется) Номер файла)","ИдентификаторЗадания (Идентификатор задания), ДатаЗагрузки (Дата загрузки), ИмяФайла (Имя файла), ИсходныйФайл (Исходный файл)","Пользователь, Отправитель, ИдентификаторКлиента (Идентификатор клиента), МобильноеПриложение (Мобильное приложение), ВОбработке (В обработке)",1 Catalogs; 6 CommonModules; 1 DataProcessors; 14 Documents; 5 InformationRegisters,InformationRegisters:ИсходныеДанныеЗаданийРаспознаваниеДокументов:29; InformationRegisters:ИсходныеДанныеЗаданийРаспознаваниеДокументов:64; InformationRegisters:ИсходныеДанныеЗаданийРаспознаваниеДокументов:108; InformationRegisters:ИсходныеДанныеЗаданийРаспознаваниеДокументов:256; InformationRegisters:ИсходныеДанныеЗаданийРаспознаваниеДокументов:273; DataProcessors:РаспознаваниеДокументов:72; Catalogs:Catalogs/МобильныеПриложенияРаспознаванияДокументов/Ext/ObjectModule.bsl:35; Documents:РаспознанныйДокумент:52; Documents:РаспознанныйДокумент:67; Documents:РаспознанныйДокумент:515; Documents:РаспознанныйДокумент:533; Documents:РаспознанныйДокумент:536; Documents:РаспознанныйДокумент:545; Documents:РаспознанныйДокумент:634; Documents:РаспознанныйДокумент:637,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/ИсходныеДанныеЗаданийРаспознаваниеДокументов.xml,
Регистр сведений,КалендарныеГрафики,Календарные графики,Прочее / требуется ручное уточнение,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Прочее / требуется ручное уточнение': Календарные графики.,"Аналитики: Календарь (График работы), Год, ДатаГрафика (Дата графика). Значения: ДеньВключенВГрафик (День включен в график), КоличествоДнейВГрафикеСНачалаГода (Количество дней в графике с начала года). ","Календарь (График работы), Год, ДатаГрафика (Дата графика)","ДеньВключенВГрафик (День включен в график), КоличествоДнейВГрафикеСНачалаГода (Количество дней в графике с начала года)",,10 Catalogs; 4 CommonModules; 7 InformationRegisters,InformationRegisters:КалендарныеГрафики:47; InformationRegisters:КалендарныеГрафики:57; InformationRegisters:КалендарныеГрафики:153; InformationRegisters:КалендарныеГрафики:160; InformationRegisters:КалендарныеГрафики:327; InformationRegisters:КалендарныеГрафики:334; InformationRegisters:КалендарныеГрафики:396; Catalogs:Catalogs/Календари/Ext/ObjectModule.bsl:57; Catalogs:Catalogs/Календари/Ext/ObjectModule.bsl:64; Catalogs:Catalogs/Календари/Ext/ObjectModule.bsl:67; Catalogs:Catalogs/Календари/Forms/ФормаЭлемента/Ext/Form/Module.bsl:65; Catalogs:Catalogs/Календари/Forms/ФормаЭлемента/Ext/Form/Module.bsl:812; Catalogs:Catalogs/Календари/Forms/ФормаЭлемента/Ext/Form/Module.bsl:820; Catalogs:Catalogs/Календари/Forms/ФормаЭлемента/Ext/Form/Module.bsl:882; Catalogs:Catalogs/Календари/Forms/ФормаЭлемента/Ext/Form/Module.bsl:888,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/КалендарныеГрафики.xml,
Регистр сведений,КассыНеПередающиеДанныеВИСМП,"Кассы, не передающие данные в ИС МП",Денежные средства / казначейство,Непериодические сведения; независимая запись,"Хранит состояние/соответствие/служебные сведения в контуре 'Денежные средства / казначейство': Кассы, не передающие данные в ИС МП.",Аналитики: Касса. ,Касса,,,1 CommonModules,CommonModules:ПанельАдминистрированияИСМП:49,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/КассыНеПередающиеДанныеВИСМП.xml,
Регистр сведений,КатегорииНовостейИнтервалыВерсий,"Категории новостей, интервалы версий",Администрирование / настройки / служебные данные,Непериодические сведения; независимая запись,"Хранит состояние/соответствие/служебные сведения в контуре 'Администрирование / настройки / служебные данные': Категории новостей, интервалы версий.","Аналитики: Новость, КатегорияНовостей (Категория новостей), Продукт (Продукт (код)), ВерсияОТ (Версия ОТ), ВерсияДО (Версия ДО). ","Новость, КатегорияНовостей (Категория новостей), Продукт (Продукт (код)), ВерсияОТ (Версия ОТ), ВерсияДО (Версия ДО)",,,3 Catalogs; 9 CommonModules,Catalogs:Catalogs/Новости/Forms/ФормаДокумента/Ext/Form/Module.bsl:72; Catalogs:Catalogs/Новости/Forms/ФормаДокумента/Ext/Form/Module.bsl:91; Catalogs:Catalogs/Новости/Forms/ФормаДокумента/Ext/Form/Module.bsl:390; CommonModules:ОбработкаНовостейСлужебный:292; CommonModules:ОбработкаНовостейСлужебный:7632; CommonModules:ОбработкаНовостейСлужебный:9774; CommonModules:ОбработкаНовостейСлужебный:10308; CommonModules:ОбработкаНовостейСлужебный:10354; CommonModules:ОбработкаНовостейСлужебный:10407; CommonModules:ОбработкаНовостейСлужебный:10458; CommonModules:ОбработкаНовостейСлужебный:10491; CommonModules:ОбработкаНовостейСлужебный:10645,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/КатегорииНовостейИнтервалыВерсий.xml,
Регистр сведений,КатегорииНовостейИнтервалыВерсийНеобработанные,"Категории новостей (интервалы версий, необработанные)",Производство / работы,Непериодические сведения; независимая запись,"Хранит состояние/соответствие/служебные сведения в контуре 'Производство / работы': Категории новостей (интервалы версий, необработанные).","Аналитики: КатегорияНовостейСтрока (Категория новостей (строка)), ЛентаНовостей (Лента новостей), УИННовости (УИН новости), Продукт (Продукт (код)), ВерсияОТ (Версия ОТ), ВерсияДО (Версия ДО). ","КатегорияНовостейСтрока (Категория новостей (строка)), ЛентаНовостей (Лента новостей), УИННовости (УИН новости), Продукт (Продукт (код)), ВерсияОТ (Версия ОТ), ВерсияДО (Версия ДО)",,,1 Catalogs; 13 CommonModules; 1 DataProcessors,DataProcessors:УправлениеНовостями:2670; Catalogs:Catalogs/Новости/Ext/ObjectModule.bsl:330; CommonModules:ОбработкаНовостейСлужебный:293; CommonModules:ОбработкаНовостейСлужебный:7545; CommonModules:ОбработкаНовостейСлужебный:7642; CommonModules:ОбработкаНовостейСлужебный:7750; CommonModules:ОбработкаНовостейСлужебный:7802; CommonModules:ОбработкаНовостейСлужебный:9430; CommonModules:ОбработкаНовостейСлужебный:9780; CommonModules:ОбработкаНовостейСлужебный:10309; CommonModules:ОбработкаНовостейСлужебный:10355; CommonModules:ОбработкаНовостейСлужебный:10408; CommonModules:ОбработкаНовостейСлужебный:10459; CommonModules:ОбработкаНовостейСлужебный:10492; CommonModules:ОбработкаНовостейСлужебный:10646,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/КатегорииНовостейИнтервалыВерсийНеобработанные.xml,
Регистр сведений,КатегорииНовостейПростые,"Категории новостей, простые",Склад / товарные остатки,Непериодические сведения; независимая запись,"Хранит состояние/соответствие/служебные сведения в контуре 'Склад / товарные остатки': Категории новостей, простые.","Аналитики: Новость, КатегорияНовостей (Категория новостей), ЗначениеКатегорииНовостей (Значение категории новостей). Признаки: УсловиеОтбора (Условие отбора).","Новость, КатегорияНовостей (Категория новостей), ЗначениеКатегорииНовостей (Значение категории новостей)",,УсловиеОтбора (Условие отбора),3 Catalogs; 9 CommonModules,Catalogs:Catalogs/Новости/Forms/ФормаДокумента/Ext/Form/Module.bsl:66; Catalogs:Catalogs/Новости/Forms/ФормаДокумента/Ext/Form/Module.bsl:85; Catalogs:Catalogs/Новости/Forms/ФормаДокумента/Ext/Form/Module.bsl:381; CommonModules:ОбработкаНовостейСлужебный:294; CommonModules:ОбработкаНовостейСлужебный:7596; CommonModules:ОбработкаНовостейСлужебный:9761; CommonModules:ОбработкаНовостейСлужебный:10310; CommonModules:ОбработкаНовостейСлужебный:10356; CommonModules:ОбработкаНовостейСлужебный:10409; CommonModules:ОбработкаНовостейСлужебный:10460; CommonModules:ОбработкаНовостейСлужебный:10493; CommonModules:ОбработкаНовостейСлужебный:10647,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/КатегорииНовостейПростые.xml,
Регистр сведений,КатегорииНовостейПростыеНеобработанные,"Категории новостей (простые, необработанные)",Склад / товарные остатки,Непериодические сведения; независимая запись,"Хранит состояние/соответствие/служебные сведения в контуре 'Склад / товарные остатки': Категории новостей (простые, необработанные).","Аналитики: КатегорияНовостейСтрока (Категория новостей (строка)), ЗначениеКатегорииНовостейСтрока (Значение категории новостей (строка)), ЛентаНовостей (Лента новостей), УИННовости (УИН новости). Признаки: УсловиеОтбора (Условие отбора).","КатегорияНовостейСтрока (Категория новостей (строка)), ЗначениеКатегорииНовостейСтрока (Значение категории новостей (строка)), ЛентаНовостей (Лента новостей), УИННовости (УИН новости)",,УсловиеОтбора (Условие отбора),1 Catalogs; 12 CommonModules; 3 DataProcessors,DataProcessors:УправлениеНовостями:1903; DataProcessors:УправлениеНовостями:1922; DataProcessors:УправлениеНовостями:2560; Catalogs:Catalogs/Новости/Ext/ObjectModule.bsl:343; CommonModules:ОбработкаНовостейСлужебный:295; CommonModules:ОбработкаНовостейСлужебный:7520; CommonModules:ОбработкаНовостейСлужебный:7605; CommonModules:ОбработкаНовостейСлужебный:7703; CommonModules:ОбработкаНовостейСлужебный:9405; CommonModules:ОбработкаНовостейСлужебный:9767; CommonModules:ОбработкаНовостейСлужебный:10311; CommonModules:ОбработкаНовостейСлужебный:10357; CommonModules:ОбработкаНовостейСлужебный:10410; CommonModules:ОбработкаНовостейСлужебный:10461; CommonModules:ОбработкаНовостейСлужебный:10494,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/КатегорииНовостейПростыеНеобработанные.xml,
Регистр сведений,КатегорииПодакцизныхТоваров,Категории подакцизных товаров,Склад / товарные остатки,Периодические сведения; независимая запись,Хранит историю сведений в контуре 'Склад / товарные остатки': Категории подакцизных товаров.,"Аналитики: Номенклатура, Страна. Значения: КоэффициентПересчета (Коэффициент пересчета), КатегорияПодакцизногоТовара (Категория подакцизного товара), ПодакцизныйТовар (Подакцизный товар). ","Номенклатура, Страна","КоэффициентПересчета (Коэффициент пересчета), КатегорияПодакцизногоТовара (Категория подакцизного товара), ПодакцизныйТовар (Подакцизный товар)",,4 CommonModules; 4 DataProcessors; 13 InformationRegisters,InformationRegisters:КатегорииПодакцизныхТоваров:33; InformationRegisters:КатегорииПодакцизныхТоваров:143; InformationRegisters:КатегорииПодакцизныхТоваров:160; InformationRegisters:КатегорииПодакцизныхТоваров:203; InformationRegisters:КатегорииПодакцизныхТоваров:255; InformationRegisters:КатегорииПодакцизныхТоваров:260; InformationRegisters:КатегорииПодакцизныхТоваров:266; InformationRegisters:КатегорииПодакцизныхТоваров:276; InformationRegisters:КатегорииПодакцизныхТоваров:281; InformationRegisters:КатегорииПодакцизныхТоваров:366; InformationRegisters:КатегорииПодакцизныхТоваров:200; InformationRegisters:КатегорииПодакцизныхТоваров:8; InformationRegisters:КатегорииПодакцизныхТоваров:257; DataProcessors:ЗаполнениеКатегорийПодакцизныхТоваров:765; DataProcessors:ЗаполнениеКатегорийПодакцизныхТоваров:781,При изменении значения во времени/получении среза.,см. контур учета и источники записи,Высокая,InformationRegisters/КатегорииПодакцизныхТоваров.xml,
Регистр сведений,КвартирыОфисыПомещения,Квартиры офисы помещения,Склад / товарные остатки,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Склад / товарные остатки': Квартиры офисы помещения.,"Аналитики: АдресныйОбъект (Адресный объект), КодСубъектаРФ (Код субъекта РФ). Признаки: Помещения.","АдресныйОбъект (Адресный объект), КодСубъектаРФ (Код субъекта РФ)",,Помещения,3 CommonModules,CommonModules:АдресныйКлассификаторСлужебный:12355; CommonModules:АдресныйКлассификаторСлужебный:12391; CommonModules:АдресныйКлассификаторСлужебный:12775,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/КвартирыОфисыПомещения.xml,
Регистр сведений,КвотыАссортимента,Квоты ассортимента,Склад / товарные остатки,Периодические сведения; RecorderSubordinate,Хранит историю сведений в контуре 'Склад / товарные остатки': Квоты ассортимента.,"Аналитики: ТоварнаяКатегория (Товарная категория), ОбъектПланирования (Объект планирования), Марка, КоллекцияНоменклатуры (Коллекция (сезон)). Значения: Квота, ПроцентОтклонения (Процент отклонения). ","ТоварнаяКатегория (Товарная категория), ОбъектПланирования (Объект планирования), Марка, КоллекцияНоменклатуры (Коллекция (сезон))","Квота, ПроцентОтклонения (Процент отклонения)",,1 CommonModules,CommonModules:АссортиментСервер:30,При изменении значения во времени/получении среза.,см. контур учета и источники записи,Высокая,InformationRegisters/КвотыАссортимента.xml,
Регистр сведений,КлассификаторФИО,Классификатор ФИО,Прочее / требуется ручное уточнение,Непериодические сведения; независимая запись,Хранит состояние/соответствие/служебные сведения в контуре 'Прочее / требуется ручное уточнение': Классификатор ФИО.,"Аналитики: ВидДанных (Вид данных), Значение. Значения: Пол, ПриоритетОтображения (Приоритет отображения). ","ВидДанных (Вид данных), Значение","Пол, ПриоритетОтображения (Приоритет отображения)",,8 CommonModules,CommonModules:ПодборФИО:342; CommonModules:ПодборФИО:407; CommonModules:ПодборФИО:420; CommonModules:ПодборФИО:430; CommonModules:ПодборФИО:440; CommonModules:ПодборФИО:450; CommonModules:ПодборФИО:460; CommonModules:ПодборФИО:504,"При записи объекта, настройки, обмена или служебного механизма.",см. контур учета и источники записи,Высокая,InformationRegisters/КлассификаторФИО.xml,
