Тип объекта,Имя регистра,Вид поля,Поле,Синоним,Тип,Подсказка,В итогах,Проверка заполнения,XML путь
Регистр накопления,БонусныеБаллы,Измерение,БонуснаяПрограммаЛояльности,Бонусная программа лояльности,; cfg:CatalogRef.БонусныеПрограммыЛояльности,,true,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Измерение,Партнер,Клиент,; cfg:CatalogRef.Партнеры,,true,ShowError,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Ресурс,Начислено,Начислено,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Ресурс,КСписанию,К списанию,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Ресурс,Зарезервировано,Зарезервировано,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Реквизит,Сторно,Сторно,; xs:boolean,,,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Реквизит,ДатаНачалаДействия,Дата начала действия,; xs:dateTime,,,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,БонусныеБаллы,Реквизит,ДатаКОбработке,Дата к обработке,; xs:dateTime,,,DontCheck,AccumulationRegisters/БонусныеБаллы.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,АналитикаУчетаНоменклатуры,Аналитика учета номенклатуры,; cfg:CatalogRef.КлючиАналитикиУчетаНоменклатуры,Аналитика учета номенклатуры (товар и характеристика),true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,ЗаказКлиента,Заказ клиента,; cfg:DocumentRef.ПервичныйДокумент; cfg:DocumentRef.ЗаявкаНаВозвратТоваровОтКлиента; cfg:DocumentRef.РеализацияТоваровУслуг; cfg:DocumentRef.АктВыполненныхРабот; cfg:DocumentRef.ЗаказКлиента; cfg:DocumentRef.ОтгрузкаТоваровКлиенту,"Заказ клиента, по которому отражена продажа товаров и услуг.",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,АналитикаУчетаПоПартнерам,Аналитика учета по партнерам,; cfg:CatalogRef.КлючиАналитикиУчетаПоПартнерам,"Определяет аналитику клиентов, которым реализованы товары..",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,Подразделение,Подразделение,; cfg:CatalogRef.СтруктураПредприятия,"Подразделение, по которому отражены продажи",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,ТипЗапасов,Тип запасов или услуга,; cfg:EnumRef.ТипыЗапасов,Тип запаса проданного товара: товар или комиссионный товар,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,ВидЗапасов,Вид запасов,; cfg:CatalogRef.ВидыЗапасов,Вид запасов поступившего товара,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,РазделУчета,Раздел учета,; cfg:EnumRef.РазделыУчетаСебестоимостиТоваров,Место нахождения (учета) номенклатуры и расходов.,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,Партия,Партия,; cfg:DefinedType.ДокументПартии,Партия номенклатуры,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,АналитикаУчетаПартий,Аналитика учета партий,; cfg:CatalogRef.КлючиАналитикиУчетаПартий,Аналитика учета партии номенклатуры,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,АналитикаФинансовогоУчета,Аналитика финансового учета,; cfg:CatalogRef.СтруктураПредприятия; cfg:CatalogRef.Пользователи; cfg:CatalogRef.СделкиСКлиентами; cfg:CatalogRef.ГруппыАналитическогоУчетаНоменклатуры,Аналитика финансового учета номенклатуры,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,ВидДеятельностиНДС,Вид деятельности НДС,; cfg:EnumRef.ТипыНалогообложенияНДС,Налогообложение НДС,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,Менеджер,Менеджер,; cfg:CatalogRef.Пользователи,,true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,Склад,Склад / комиссионер / подразделение,; cfg:CatalogRef.Организации; cfg:CatalogRef.СтруктураПредприятия; cfg:CatalogRef.Партнеры; cfg:CatalogRef.Склады,"Склад, на котором учитываются товары, или комиссионер, которому переданы товары на комиссию, или подразделение в котором числятся материалы.",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,Соглашение,Соглашение,; cfg:CatalogRef.СоглашенияСКлиентами,"Соглашение, в рамках которого оформлена продажа",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,Договор,Договор,; cfg:CatalogRef.ДоговорыМеждуОрганизациями; cfg:CatalogRef.ДоговорыКонтрагентов,"Договор с контрагентом, в рамках которого оформлена продажа",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,ХозяйственнаяОперация,Хозяйственная операция,; cfg:EnumRef.ХозяйственныеОперации,"Хозяйственная операция, по которой выполнены движения по регистру.",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,АналитикаУчетаНаборов,Аналитика учета наборов,; cfg:CatalogRef.КлючиАналитикиУчетаНаборов,Аналитика учета номенклатуры (товар и характеристика),true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,НаправлениеДеятельностиКонтрагента,Направление деятельности контрагента,; cfg:CatalogRef.НаправленияДеятельности,"Направление деятельности, к которому относится контрагент в рамках управленческого учета.",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Измерение,НаправлениеДеятельностиНоменклатуры,Направление деятельности номенклатуры,; cfg:CatalogRef.НаправленияДеятельности,"Направление деятельности, к которому относится номенклатура в рамках управленческого учета.",true,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,Количество,Количество,; xs:decimal,Количество проданных товаров,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СуммаВыручки,Сумма выручки с НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Выручка от продажи товаров с НДС в валюте управленческого учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СуммаВыручкиБезНДС,Сумма выручки без НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Выручка от продажи товаров без НДС в валюте управленческого учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ВыручкаПостояннаяРазница,Сумма выручки (ПР),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ВыручкаВременнаяРазница,Сумма выручки (ВР),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,Стоимость,Стоимость с НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Стоимость проданных товаров с НДС в валюте управленческого учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СтоимостьБезНДС,Стоимость без НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Стоимость проданных товаров без НДС в валюте управленческого учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ДопРасходы,Доп. расходы,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Сумма транспортно-заготовительных расходов с НДС в валюте управленческого учета, распределенных на проданную номенклатуру.",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ДопРасходыБезНДС,Доп. расходы без НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Сумма транспортно-заготовительных расходов без НДС в валюте управленческого учета, распределенных на проданную номенклатуру.",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СтоимостьУпр,Стоимость (упр.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость в части прямых материальных расходов без НДС в валюте упр. учета, рассчитанным по правилам МСФО (МФУ)",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СтоимостьРегл,Стоимость (регл.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Стоимость проданных товаров без НДС в валюте регламентированного учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СтоимостьЗабалансовая,Стоимость забалансовая,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Забалансовая стоимость товаров в валюте управленческого учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СтоимостьЗабалансоваяРегл,Стоимость забалансовая (регл.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Забалансовая стоимость товаров в валюте регламентированного учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СуммаВыручкиРегл,Сумма выручки без НДС (регл.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Выручка от продажи товаров без НДС в валюте регламентированного учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ПостояннаяРазница,Себестоимость (ПР),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Сумма постоянной разницы в себестоимости товаров по данным налогового учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ДопРасходыУпр,Доп. расходы (упр.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость в части дополнительных расходов по товарам без НДС в валюте упр. учета, рассчитанным по правилам МСФ (МФУ)",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ДопРасходыРегл,Доп. расходы (регл.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Стоимость дополнительных расходов по товарам в валюте регламентированного учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ПостатейныеПостоянныеСНДС,Постатейные постоянные с НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость постатейных постоянных затрат с НДС, включенных в себестоимость продукции, в валюте управленческого учета",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ПостатейныеПостоянныеБезНДС,Постатейные постоянные без НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость постатейных постоянных затрат без НДС, включенных в себестоимость продукции, в валюте управленческого учета",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ПостатейныеПостоянныеУпр,Постатейные постоянные (упр.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость постатейных постоянных затрат, включенных в себестоимость продукции, рассчитанных по правилам МСФО (МФУ), в валюте управленческого учета",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ПостатейныеПостоянныеРегл,Постатейные постоянные (регл.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость постатейных постоянных затрат без НДС, включенных в себестоимость продукции, в валюте регламентированного учета",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,Трудозатраты,Трудозатраты,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость трудозатрат, включенных в себестоимость продукции, в валюте управленческого учета",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ТрудозатратыУпр,Трудозатраты (упр.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость продукции в части трудозатрат в валюте упр. учета, рассчитанным по правилам МСФО (МФУ)",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ТрудозатратыРегл,Трудозатраты (регл.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость трудозатрат, включенных в себестоимость продукции, в валюте регламентированного учета",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ПостатейныеПеременныеСНДС,Постатейные переменные с НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость постатейных переменных затрат с НДС, включенных в себестоимость продукции, в валюте управленческого учета",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ПостатейныеПеременныеБезНДС,Постатейные переменные без НДС,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость постатейных переменных затрат без НДС, включенных в себестоимость продукции, в валюте управленческого учета",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ПостатейныеПеременныеУпр,Постатейные переменные (упр.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость постатейных переменных затрат, включенных в себестоимость продукции, рассчитанных по правилам МСФО (МФУ), в валюте управленческого учета",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ПостатейныеПеременныеРегл,Постатейные переменные (регл.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Стоимость постатейных переменных затрат без НДС, включенных в себестоимость продукции, в валюте регламентированного учета",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,ВременнаяРазница,Себестоимость (ВР),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Сумма временной разницы в себестоимости товаров по данным налогового учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СуммаВыручкиСНДСРегл,Сумма выручки с НДС (регл.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Выручка от продажи товаров с НДС в валюте регламентированного учета,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СуммаРучнойСкидки,Сумма ручной скидки,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Сумма ручной скидки или наценки в валюте управленческого учета.,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СуммаАвтоматическойСкидки,Сумма автоматической скидки,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Сумма автоматической скидки или наценки в валюте управленческого учета.,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,РасходыНаПродажуСНДС,Расходы на продажу (с НДС),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,РасходыНаПродажуБезНДС,Расходы на продажу (без НДС),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,РасходыНаПродажуУпр,Расходы на продажу (упр.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Расходы, непосредственно связанные с реализацией номенклатуры, в валюте управленческого учета",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,РасходыНаПродажуРегл,Расходы на продажу (регл.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Расходы, непосредственно связанные с реализацией номенклатуры, в валюте регламентированного учета",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,РезервПодОбесценениеРегл,Резерв под обесценение (регл.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Сумма сформированного резерва под обесценение запасов согласно требованиям ФСБУ 5/2019,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,РезервПодОбесценениеУпр,Резерв под обесценение (упр.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Сумма сформированного резерва под обесценение запасов согласно требованиям ФСБУ 5/2019,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СуммаАкцизаРегл,Сумма акциза (регл.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Ресурс,СуммаАкцизаУпр,Сумма акциза (упр.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,НалогообложениеНДС,Налогообложение НДС,; cfg:EnumRef.ТипыНалогообложенияНДС,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,ВалютаВзаиморасчетов,Валюта взаиморасчетов,; cfg:CatalogRef.Валюты,Валюта взаиморасчетов,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,СуммаВВалютеВзаиморасчетов,Сумма в валюте взаиморасчетов,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Сумма в валюте взаиморасчетов,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,СуммаБезНДСВВалютеВзаиморасчетов,Сумма без НДС в валюте взаиморасчетов,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Сумма без НДС в валюте взаиморасчетов,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,ВалютаДокумента,Валюта документа,; cfg:CatalogRef.Валюты,Валюта документа,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,СуммаВВалютеДокумента,Сумма в валюте документа,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Сумма в валюте документа,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,СуммаБезНДСВВалютеДокумента,Сумма без НДС в валюте документа,; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,Сумма без НДС в валюте документа,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,ИсточникГФУНоменклатуры,Источник ГФУ номенклатуры,; cfg:CatalogRef.Номенклатура; cfg:CatalogRef.ВидыЗапасов,Источник группы финансового учета номенклатуры.,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,ДокументДвижения,Документ движения,; cfg:DocumentRef.ВозвратТоваровОтКлиента; cfg:DocumentRef.ОтчетКомиссионера; cfg:DocumentRef.РегистраторРасчетаСебестоимости; cfg:DocumentRef.КорректировкаРегистров; cfg:DocumentRef.ОтчетПоКомиссииМеждуОрганизациями; cfg:DocumentRef.ОтчетКомитенту; cfg:DocumentRef.КорректировкаРеализации; cfg:DocumentRef.РеализацияТоваровУслуг; cfg:DocumentRef.ОтчетПоКомиссииМеждуОрганизациямиОСписании; cfg:DocumentRef.ПриобретениеУслугПрочихАктивов; cfg:DocumentRef.АктВыполненныхРабот; cfg:DocumentRef.ОтчетОРозничныхПродажах; cfg:DocumentRef.ОтчетОРозничныхВозвратах; cfg:DocumentRef.ВозвратТоваровМеждуОрганизациями; cfg:DocumentRef.ПередачаТоваровМеждуОрганизациями; cfg:DocumentRef.ВыкупТоваровХранителем; cfg:DocumentRef.СчетФактураПолученныйНалоговыйАгент; cfg:DocumentRef.СчетФактураНалоговыйАгент,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,РасчетСебестоимости,Расчет себестоимости,; xs:boolean,Движение сформировано регламентной операцией закрытия месяца,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,РасчетПартий,Расчет партий,; xs:boolean,Движение сформировано регламентной операцией закрытия месяца,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,РасчетНеЗавершен,Расчет не завершен,; xs:boolean,Признак неподобранной партии в движении,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,НДСРегл,НДС (регл.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Используется для формирования оффлайновых движений в регистре ""Детализация партий товаров для НДС и УСН"".",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,НДСУпр,НДС (упр.),; cfg:DefinedType.ДенежнаяСуммаЛюбогоЗнака,"Используется для формирования оффлайновых движений в регистре ""Детализация партий товаров для НДС и УСН"".",,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,НастройкаХозяйственнойОперации,Настройка хозяйственной операции,; cfg:CatalogRef.НастройкиХозяйственныхОпераций,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,ИдентификаторФинЗаписи,Идентификатор фин. записи,; xs:string,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,ИсточникГФУРасчетов,Источник ГФУ расчетов,; cfg:CatalogRef.ОбъектыРасчетов,Источник группы финансового учета расчетов с партнерами.,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,ДокументРасчета,Документ расчета,; cfg:DocumentRef.РегистраторРасчетаСебестоимости,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,РежимЗакрытияМесяца,Режим закрытия месяца,; cfg:EnumRef.РежимыЗакрытияМесяца,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,Сторно,Сторно,; xs:boolean,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,ПериодКорректировки,Период корректировки,; xs:dateTime,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ВыручкаИСебестоимостьПродаж,Реквизит,СтавкаНДС,Ставка НДС,; cfg:CatalogRef.СтавкиНДС,,,DontCheck,AccumulationRegisters/ВыручкаИСебестоимостьПродаж.xml
Регистр накопления,ДвиженияДенежныеСредстваДоходыРасходы,Измерение,ХозяйственнаяОперация,Хозяйственная операция,; cfg:EnumRef.ХозяйственныеОперации,"Вид операции, отражаемой в учете.",false,DontCheck,AccumulationRegisters/ДвиженияДенежныеСредстваДоходыРасходы.xml
Регистр накопления,ДвиженияДенежныеСредстваДоходыРасходы,Измерение,Организация,Организация,; cfg:CatalogRef.Организации,"Организация предприятия, данные по которой отражаются в учете.",false,DontCheck,AccumulationRegisters/ДвиженияДенежныеСредстваДоходыРасходы.xml
Регистр накопления,ДвиженияДенежныеСредстваДоходыРасходы,Измерение,Подразделение,Подразделение,; cfg:CatalogRef.СтруктураПредприятия,"Подразделение, к которому относится хозяйственная операция в рамках управленческого учета.",false,DontCheck,AccumulationRegisters/ДвиженияДенежныеСредстваДоходыРасходы.xml
